TempHighF,TempAvgF,TempLowF,DewPointHighF,DewPointAvgF,DewPointLowF,HumidityHighPercent,HumidityAvgPercent,HumidityLowPercent,SeaLevelPressureAvgInches,VisibilityHighMiles,VisibilityAvgMiles,VisibilityLowMiles,WindHighMPH,WindAvgMPH,WindGustMPH,PrecipitationSumInches
38,33.5,29,29.0,23.0,17.0,78.0,68.0,58.0,30.32,10.0,6.0,2.0,8.0,10.0,12.0,0.0
65,51.0,37,42.0,35.5,29.0,85.0,62.5,40.0,30.17,10.0,6.5,3.0,14.0,17.5,21.0,0.0
76,58.5,41,53.0,45.5,38.0,96.0,70.0,44.0,30.05,10.0,5.0,0.0,13.0,16.5,20.0,0.0
60,47.5,35,49.0,39.5,30.0,82.0,74.0,66.0,30.15,10.0,7.0,4.0,15.0,19.0,23.0,0.0
36,34.5,33,31.0,29.0,27.0,89.0,79.5,70.0,30.24,9.0,5.0,1.0,15.0,19.0,23.0,0.1
57,45.0,33,34.0,30.5,27.0,75.0,56.5,38.0,30.18,10.0,8.5,7.0,14.0,18.0,22.0,0.0
69,50.5,32,38.0,33.0,28.0,85.0,57.5,30.0,30.02,10.0,10.0,10.0,10.0,14.5,19.0,0.0
86,66.5,47,48.0,35.0,22.0,86.0,50.5,15.0,29.93,10.0,9.0,8.0,18.0,24.0,30.0,0.0
76,59.0,42,52.0,37.0,22.0,64.0,43.0,22.0,30.09,10.0,10.0,10.0,15.0,19.0,23.0,0.0
76,67.5,59,61.0,57.0,53.0,90.0,73.5,57.0,30.01,10.0,5.0,0.0,13.0,18.0,23.0,0.0
81,69.5,58,62.0,45.5,29.0,87.0,52.0,17.0,30.03,10.0,6.0,2.0,15.0,19.0,23.0,0.0
82,68.5,55,63.0,47.5,32.0,78.0,55.0,32.0,30.0,10.0,9.5,9.0,13.0,16.5,20.0,0.0
82,72.5,63,62.0,60.5,59.0,93.0,70.0,47.0,29.85,10.0,6.0,2.0,15.0,20.0,25.0,0.0
83,70.0,57,64.0,45.5,27.0,81.0,48.0,15.0,29.85,10.0,8.5,7.0,16.0,22.0,28.0,0.0
72,56.5,41,33.0,27.5,22.0,67.0,43.0,19.0,30.11,10.0,10.0,10.0,14.0,17.0,20.0,0.0
77,62.5,48,57.0,43.5,30.0,73.0,52.5,32.0,29.96,10.0,10.0,10.0,14.0,18.0,22.0,0.0
86,74.0,62,61.0,52.5,44.0,84.0,56.5,29.0,29.95,10.0,8.5,7.0,15.0,19.5,24.0,0.0
76,65.5,55,63.0,53.0,43.0,81.0,65.0,49.0,30.04,10.0,7.5,5.0,12.0,15.0,18.0,0.0
71,61.5,52,65.0,56.0,47.0,93.0,85.0,77.0,30.01,10.0,5.5,1.0,12.0,16.0,20.0,0.0
52,44.0,36,46.0,33.5,21.0,83.0,63.0,43.0,30.18,10.0,6.0,2.0,20.0,24.5,29.0,0.11
59,45.0,31,32.0,26.5,21.0,82.0,55.5,29.0,30.1,10.0,10.0,10.0,12.0,14.5,17.0,0.0
80,62.0,44,50.0,42.5,35.0,83.0,60.0,37.0,29.85,10.0,8.5,7.0,13.0,17.0,21.0,0.0
82,67.5,53,65.0,56.5,48.0,93.0,73.5,54.0,29.95,10.0,5.0,0.0,16.0,21.5,27.0,0.0
73,50.5,28,67.0,43.5,20.0,89.0,79.0,69.0,30.05,10.0,6.0,2.0,20.0,28.5,37.0,0.08
47,35.5,24,27.0,19.5,12.0,75.0,56.0,37.0,30.33,10.0,7.0,4.0,18.0,23.5,29.0,0.08
50,40.0,30,36.0,31.0,26.0,92.0,72.0,52.0,30.18,10.0,6.0,2.0,9.0,11.0,13.0,0.17
53,45.5,38,43.0,39.0,35.0,86.0,76.0,66.0,30.06,10.0,7.0,4.0,13.0,14.5,16.0,0.0
65,54.0,43,42.0,38.5,35.0,89.0,61.5,34.0,30.18,10.0,7.0,4.0,13.0,16.5,20.0,0.0
67,53.0,39,50.0,43.0,36.0,86.0,65.0,44.0,29.99,10.0,7.5,5.0,16.0,19.0,22.0,0.0
59,51.5,44,57.0,48.0,39.0,93.0,88.0,83.0,30.09,10.0,5.5,1.0,14.0,17.5,21.0,0.74
58,48.5,39,45.0,38.0,31.0,86.0,70.5,55.0,30.29,10.0,6.0,2.0,15.0,19.0,23.0,0.11
71,60.5,50,56.0,50.5,45.0,84.0,68.5,53.0,30.08,10.0,7.0,4.0,12.0,14.5,17.0,0.01
83,69.5,56,56.0,54.0,52.0,93.0,66.0,39.0,29.77,10.0,7.0,4.0,14.0,18.0,22.0,0.0
70,59.5,49,50.0,33.0,16.0,56.0,36.0,16.0,30.13,10.0,10.0,10.0,24.0,30.5,37.0,0.0
68,52.5,37,40.0,30.0,20.0,68.0,44.5,21.0,30.26,10.0,10.0,10.0,9.0,13.5,18.0,0.0
75,62.0,49,59.0,51.0,43.0,86.0,67.5,49.0,30.04,10.0,10.0,10.0,13.0,18.5,24.0,0.0
74,68.0,62,64.0,61.5,59.0,93.0,80.5,68.0,29.86,10.0,5.0,0.0,12.0,14.5,17.0,0.07
64,56.0,48,58.0,45.0,32.0,93.0,66.0,39.0,29.9,10.0,10.0,10.0,24.0,30.0,36.0,0.0
68,54.5,41,31.0,25.5,20.0,53.0,35.5,18.0,29.94,10.0,10.0,10.0,16.0,21.0,26.0,0.0
83,65.0,47,56.0,43.5,31.0,73.0,48.5,24.0,29.74,10.0,10.0,10.0,18.0,22.0,26.0,0.0
72,61.5,51,55.0,41.5,28.0,80.0,52.0,24.0,30.07,10.0,8.0,6.0,15.0,20.5,26.0,0.0
76,59.0,42,40.0,35.5,31.0,82.0,51.5,21.0,30.15,10.0,10.0,10.0,10.0,12.5,15.0,0.0
80,67.0,54,60.0,50.5,41.0,93.0,69.0,45.0,29.95,10.0,5.0,0.0,17.0,22.0,27.0,0.0
77,69.0,61,65.0,58.0,51.0,100.0,80.0,60.0,29.95,10.0,5.5,1.0,12.0,14.5,17.0,0.0
61,54.0,47,51.0,43.5,36.0,72.0,61.5,51.0,30.19,10.0,9.5,9.0,17.0,23.5,30.0,0.0
66,58.0,50,47.0,42.5,38.0,72.0,58.0,44.0,30.14,10.0,10.0,10.0,10.0,12.5,15.0,0.0
69,56.5,44,46.0,38.5,31.0,93.0,60.5,28.0,30.24,10.0,8.5,7.0,15.0,18.5,22.0,0.0
66,60.0,54,55.0,42.5,30.0,78.0,57.0,36.0,30.08,10.0,8.0,6.0,22.0,27.5,33.0,0.0
82,71.5,61,68.0,62.0,56.0,100.0,77.5,55.0,29.83,10.0,5.5,1.0,16.0,21.0,26.0,0.01
89,76.0,63,67.0,58.0,49.0,90.0,63.5,37.0,29.79,10.0,6.0,2.0,18.0,22.5,27.0,0.0
77,64.0,51,48.0,39.0,30.0,68.0,43.0,18.0,30.18,10.0,10.0,10.0,13.0,17.0,21.0,0.0
79,62.0,45,51.0,44.5,38.0,83.0,56.0,29.0,30.13,10.0,10.0,10.0,20.0,25.0,30.0,0.0
85,72.5,60,62.0,57.5,53.0,90.0,65.0,40.0,29.93,10.0,10.0,10.0,16.0,21.5,27.0,0.0
86,76.0,66,67.0,64.5,62.0,93.0,70.5,48.0,29.92,10.0,7.0,4.0,17.0,22.5,28.0,0.0
82,76.0,70,69.0,66.0,63.0,97.0,77.5,58.0,29.8,10.0,7.0,4.0,16.0,23.0,30.0,0.0
82,76.5,71,69.0,67.5,66.0,90.0,74.0,58.0,29.74,10.0,7.5,5.0,14.0,19.5,25.0,0.0
74,64.0,54,69.0,48.5,28.0,93.0,57.5,22.0,30.03,10.0,7.5,5.0,17.0,22.5,28.0,0.0
65,59.5,54,46.0,39.5,33.0,60.0,48.0,36.0,29.99,10.0,10.0,10.0,10.0,13.5,17.0,0.0
61,56.5,52,51.0,48.0,45.0,96.0,75.5,55.0,29.81,10.0,6.0,2.0,12.0,15.5,19.0,0.2
72,62.0,52,51.0,49.0,47.0,93.0,68.5,44.0,29.92,10.0,6.0,2.0,25.0,41.0,57.0,0.27
77,63.5,50,50.0,38.5,27.0,96.0,57.0,18.0,30.14,10.0,10.0,10.0,22.0,29.5,37.0,0.0
84,64.5,45,51.0,44.0,37.0,77.0,50.5,24.0,30.17,10.0,10.0,10.0,13.0,17.5,22.0,0.0
87,72.0,57,59.0,53.5,48.0,90.0,58.5,27.0,30.01,10.0,10.0,10.0,17.0,24.0,31.0,0.0
85,73.0,61,61.0,58.5,56.0,90.0,65.0,40.0,29.98,10.0,8.5,7.0,16.0,20.5,25.0,0.0
85,75.0,65,63.0,61.5,60.0,87.0,65.5,44.0,29.91,10.0,9.5,9.0,20.0,25.0,30.0,0.0
78,73.0,68,68.0,64.5,61.0,90.0,78.5,67.0,29.76,10.0,9.0,8.0,18.0,23.5,29.0,0.0
73,58.0,43,69.0,50.5,32.0,90.0,64.5,39.0,29.96,10.0,5.0,0.0,22.0,30.0,38.0,1.34
65,52.0,39,32.0,24.0,16.0,59.0,39.0,19.0,30.27,10.0,10.0,10.0,12.0,14.5,17.0,0.0
73,56.5,40,48.0,39.5,31.0,76.0,55.5,35.0,30.06,10.0,10.0,10.0,16.0,21.0,26.0,0.0
67,61.5,56,61.0,55.0,49.0,97.0,84.5,72.0,30.09,10.0,5.5,1.0,10.0,12.5,15.0,0.06
78,68.5,59,61.0,56.0,51.0,93.0,68.0,43.0,30.17,10.0,6.0,2.0,9.0,12.5,16.0,0.01
78,66.0,54,56.0,54.0,52.0,93.0,68.0,43.0,30.12,10.0,7.0,4.0,13.0,16.0,19.0,0.0
75,68.0,61,63.0,59.0,55.0,97.0,77.0,57.0,30.1,10.0,6.0,2.0,12.0,15.5,19.0,0.0
84,74.0,64,65.0,61.0,57.0,93.0,72.0,51.0,30.01,10.0,6.0,2.0,14.0,19.5,25.0,0.01
87,75.0,63,63.0,59.0,55.0,87.0,61.0,35.0,29.96,10.0,10.0,10.0,12.0,16.0,20.0,0.0
87,73.0,59,64.0,60.5,57.0,90.0,68.0,46.0,29.85,10.0,10.0,10.0,17.0,23.0,29.0,0.0
88,77.5,67,66.0,55.0,44.0,87.0,62.5,38.0,29.82,10.0,9.5,9.0,16.0,21.0,26.0,0.0
88,75.5,63,64.0,54.5,45.0,68.0,51.0,34.0,29.92,10.0,10.0,10.0,12.0,16.0,20.0,0.0
86,77.0,68,69.0,65.5,62.0,90.0,72.5,55.0,29.78,10.0,6.0,2.0,16.0,22.0,28.0,0.0
96,84.5,73,70.0,55.5,41.0,87.0,51.0,15.0,29.55,10.0,6.5,3.0,14.0,19.0,24.0,0.0
93,79.5,66,69.0,47.0,25.0,67.0,38.5,10.0,29.61,10.0,8.5,7.0,14.0,18.0,22.0,0.0
84,72.0,60,46.0,34.0,22.0,60.0,35.5,11.0,29.77,10.0,10.0,10.0,17.0,22.5,28.0,0.0
75,66.0,57,38.0,34.5,31.0,42.0,31.5,21.0,30.08,10.0,10.0,10.0,16.0,22.0,28.0,0.0
77,64.5,52,43.0,34.0,25.0,63.0,39.0,15.0,30.12,10.0,10.0,10.0,10.0,14.0,18.0,0.0
83,69.5,56,40.0,33.5,27.0,51.0,32.5,14.0,30.02,10.0,10.0,10.0,9.0,13.0,17.0,0.0
94,76.0,58,42.0,34.0,26.0,44.0,27.0,10.0,30.0,10.0,10.0,10.0,13.0,16.5,20.0,0.0
91,76.0,61,42.0,37.0,32.0,37.0,26.5,16.0,30.02,10.0,10.0,10.0,14.0,18.5,23.0,0.0
92,76.0,60,59.0,51.5,44.0,90.0,61.0,32.0,29.91,10.0,10.0,10.0,16.0,21.5,27.0,0.0
87,76.0,65,64.0,60.5,57.0,87.0,66.0,45.0,29.81,10.0,10.0,10.0,17.0,23.0,29.0,0.0
88,79.0,70,67.0,64.5,62.0,84.0,65.0,46.0,29.81,10.0,10.0,10.0,18.0,24.5,31.0,0.0
84,78.5,73,73.0,70.0,67.0,84.0,74.5,65.0,29.81,10.0,6.0,2.0,17.0,23.5,30.0,0.06
86,76.0,66,71.0,64.5,58.0,87.0,68.5,50.0,29.89,10.0,5.5,1.0,20.0,29.5,39.0,0.0
91,75.5,60,66.0,62.0,58.0,97.0,70.5,44.0,29.84,10.0,7.5,5.0,16.0,19.5,23.0,0.0
93,82.5,72,68.0,66.5,65.0,84.0,62.5,41.0,29.77,10.0,7.0,4.0,18.0,24.0,30.0,0.0
82,72.0,62,76.0,68.5,61.0,94.0,86.5,79.0,29.84,10.0,5.0,0.0,18.0,22.0,26.0,2.45
67,61.0,55,60.0,54.0,48.0,93.0,72.5,52.0,30.09,10.0,6.0,2.0,16.0,23.5,31.0,0.94
76,63.5,51,51.0,41.5,32.0,93.0,57.0,21.0,30.24,10.0,7.5,5.0,17.0,22.5,28.0,0.14
84,65.0,46,47.0,40.0,33.0,93.0,55.0,17.0,30.22,10.0,10.0,10.0,10.0,13.5,17.0,0.0
86,73.5,61,48.0,42.0,36.0,60.0,40.0,20.0,30.06,10.0,10.0,10.0,15.0,21.0,27.0,0.0
86,73.0,60,59.0,53.0,47.0,84.0,58.0,32.0,29.97,10.0,10.0,10.0,17.0,21.5,26.0,0.0
85,73.5,62,61.0,59.0,57.0,93.0,66.5,40.0,30.03,10.0,9.0,8.0,16.0,20.0,24.0,0.0
86,76.0,66,64.0,60.5,57.0,87.0,65.0,43.0,30.0,10.0,10.0,10.0,18.0,22.5,27.0,0.0
89,78.0,67,65.0,62.0,59.0,84.0,63.0,42.0,30.01,10.0,10.0,10.0,14.0,20.0,26.0,0.0
89,79.5,70,66.0,63.5,61.0,84.0,61.0,38.0,30.02,10.0,10.0,10.0,16.0,21.5,27.0,0.0
87,78.5,70,68.0,64.5,61.0,90.0,70.0,50.0,30.05,10.0,8.5,7.0,15.0,20.0,25.0,0.0
84,77.5,71,71.0,66.5,62.0,84.0,69.0,54.0,30.03,10.0,5.0,0.0,14.0,17.0,20.0,0.19
86,78.0,70,70.0,68.0,66.0,97.0,79.0,61.0,29.99,10.0,8.5,7.0,15.0,19.0,23.0,0.0
87,79.5,72,67.0,65.0,63.0,84.0,66.0,48.0,29.98,10.0,10.0,10.0,15.0,19.5,24.0,0.0
75,69.5,64,70.0,65.5,61.0,93.0,83.0,73.0,30.0,10.0,5.5,1.0,17.0,23.0,29.0,1.56
73,68.0,63,67.0,64.0,61.0,93.0,86.0,79.0,29.95,10.0,5.0,0.0,22.0,26.5,31.0,1.75
84,76.0,68,68.0,65.0,62.0,97.0,74.0,51.0,29.88,10.0,6.0,2.0,14.0,18.0,22.0,0.0
89,77.5,66,65.0,63.0,61.0,93.0,65.5,38.0,29.85,10.0,10.0,10.0,9.0,12.0,15.0,0.0
94,81.0,68,67.0,63.5,60.0,84.0,60.0,36.0,29.82,10.0,10.0,10.0,9.0,13.0,17.0,0.0
93,81.5,70,69.0,67.0,65.0,84.0,62.5,41.0,29.85,10.0,10.0,10.0,10.0,15.0,20.0,0.0
88,79.5,71,71.0,67.0,63.0,93.0,69.0,45.0,29.9,10.0,6.0,2.0,14.0,17.0,20.0,0.0
91,82.5,74,71.0,69.0,67.0,87.0,67.0,47.0,29.91,10.0,9.0,8.0,13.0,17.5,22.0,0.0
90,82.5,75,72.0,70.0,68.0,82.0,67.0,52.0,29.96,10.0,10.0,10.0,10.0,13.5,17.0,0.0
91,82.5,74,71.0,69.5,68.0,87.0,69.5,52.0,29.86,10.0,10.0,10.0,12.0,16.5,21.0,0.0
91,82.5,74,72.0,70.0,68.0,87.0,71.5,56.0,29.82,10.0,10.0,10.0,14.0,18.0,22.0,0.0
92,82.5,73,71.0,70.0,69.0,87.0,69.5,52.0,29.88,10.0,9.5,9.0,14.0,19.5,25.0,0.0
92,83.0,74,72.0,69.5,67.0,93.0,71.0,49.0,29.89,10.0,10.0,10.0,14.0,20.0,26.0,0.0
90,83.0,76,72.0,68.0,64.0,87.0,66.5,46.0,29.88,10.0,7.5,5.0,16.0,21.5,27.0,0.0
86,77.0,68,75.0,70.5,66.0,91.0,78.0,65.0,29.81,10.0,5.5,1.0,14.0,18.0,22.0,0.55
92,78.0,64,70.0,63.0,56.0,97.0,63.5,30.0,29.85,10.0,9.5,9.0,13.0,16.5,20.0,0.0
94,80.0,66,73.0,67.5,62.0,87.0,64.0,41.0,29.83,10.0,10.0,10.0,14.0,17.5,21.0,0.0
92,80.0,68,74.0,70.5,67.0,79.0,67.5,56.0,29.82,10.0,5.5,1.0,24.0,35.5,47.0,1.49
89,78.5,68,0.0,0.0,0.0,95.0,75.0,55.0,29.95,0.0,0.0,0.0,15.0,18.5,22.0,0.0
87,80.0,73,0.0,0.0,0.0,95.0,77.0,59.0,29.93,0.0,0.0,0.0,15.0,18.5,22.0,0.0
91,82.5,74,0.0,0.0,0.0,0.0,0.0,0.0,29.9,0.0,0.0,0.0,14.0,18.5,23.0,0.0
92,83.5,75,0.0,0.0,0.0,94.0,71.5,49.0,29.99,0.0,0.0,0.0,12.0,18.0,24.0,0.0
92,83.5,75,72.0,69.0,66.0,88.0,68.5,49.0,29.99,10.0,10.0,10.0,12.0,17.0,22.0,0.0
92,84.5,77,75.0,71.0,67.0,91.0,67.5,44.0,29.96,10.0,7.0,4.0,16.0,21.0,26.0,0.02
91,83.5,76,74.0,70.0,66.0,88.0,67.5,47.0,30.0,10.0,10.0,10.0,13.0,17.5,22.0,0.01
91,83.0,75,73.0,70.0,67.0,88.0,69.0,50.0,30.04,10.0,9.5,9.0,13.0,16.0,19.0,0.0
92,83.5,75,74.0,71.0,68.0,94.0,71.5,49.0,29.99,10.0,9.0,8.0,15.0,18.0,21.0,0.0
90,83.0,76,74.0,71.0,68.0,85.0,70.0,55.0,29.9,10.0,9.0,8.0,13.0,17.5,22.0,0.0
88,78.0,68,75.0,70.5,66.0,88.0,74.5,61.0,29.93,10.0,5.5,1.0,16.0,21.0,26.0,0.27
93,83.5,74,74.0,71.5,69.0,94.0,71.5,49.0,30.0,10.0,5.0,0.0,22.0,28.5,35.0,0.24
89,80.0,71,76.0,72.0,68.0,94.0,76.5,59.0,30.01,10.0,5.0,0.0,16.0,20.0,24.0,0.49
88,79.5,71,75.0,72.0,69.0,94.0,75.5,57.0,29.95,10.0,8.0,6.0,15.0,19.5,24.0,0.01
91,83.0,75,74.0,72.0,70.0,88.0,68.5,49.0,29.87,10.0,9.0,8.0,17.0,24.5,32.0,0.0
93,85.5,78,74.0,72.5,71.0,85.0,68.5,52.0,29.88,10.0,9.0,8.0,16.0,21.5,27.0,0.0
95,86.0,77,74.0,72.0,70.0,88.0,68.5,49.0,29.97,10.0,8.5,7.0,17.0,22.0,27.0,0.0
96,86.5,77,74.0,70.5,67.0,88.0,63.5,39.0,29.94,10.0,8.5,7.0,17.0,22.0,27.0,0.0
96,85.5,75,73.0,69.5,66.0,88.0,63.5,39.0,29.92,10.0,8.5,7.0,15.0,18.5,22.0,0.0
97,85.0,73,73.0,68.5,64.0,93.0,64.0,35.0,30.0,10.0,8.0,6.0,14.0,16.0,18.0,0.0
96,84.0,72,71.0,66.0,61.0,93.0,61.5,30.0,30.08,10.0,8.0,6.0,20.0,24.5,29.0,0.07
93,82.0,71,70.0,64.5,59.0,93.0,67.0,41.0,30.15,10.0,9.5,9.0,16.0,19.5,23.0,0.0
94,81.5,69,71.0,69.0,67.0,93.0,69.5,46.0,30.12,10.0,7.5,5.0,18.0,24.0,30.0,0.0
95,83.5,72,73.0,69.5,66.0,100.0,72.0,44.0,30.03,10.0,6.5,3.0,13.0,16.5,20.0,0.0
96,84.5,73,70.0,66.5,63.0,87.0,60.5,34.0,29.97,10.0,10.0,10.0,13.0,16.0,19.0,0.0
98,86.0,74,73.0,67.0,61.0,93.0,63.0,33.0,29.99,10.0,10.0,10.0,13.0,17.0,21.0,0.0
98,85.0,72,72.0,64.5,57.0,90.0,58.5,27.0,30.0,10.0,9.0,8.0,14.0,18.5,23.0,0.0
96,84.0,72,71.0,67.0,63.0,93.0,63.5,34.0,30.01,10.0,8.5,7.0,14.0,19.0,24.0,0.0
95,83.0,71,72.0,64.0,56.0,90.0,60.0,30.0,30.09,10.0,10.0,10.0,13.0,17.5,22.0,0.0
98,84.5,71,71.0,63.5,56.0,93.0,59.0,25.0,30.1,10.0,8.5,7.0,13.0,16.5,20.0,0.0
100,87.0,74,71.0,66.5,62.0,93.0,63.0,33.0,30.03,10.0,10.0,10.0,13.0,15.0,17.0,0.0
101,88.0,75,71.0,65.0,59.0,82.0,55.0,28.0,29.96,10.0,10.0,10.0,10.0,13.0,16.0,0.0
92,82.5,73,73.0,71.0,69.0,93.0,71.0,49.0,29.96,10.0,9.0,8.0,15.0,19.0,23.0,0.06
95,84.0,73,74.0,71.0,68.0,93.0,68.0,43.0,29.95,10.0,5.5,1.0,15.0,18.5,22.0,0.31
89,81.5,74,76.0,73.0,70.0,94.0,76.5,59.0,29.86,10.0,5.0,0.0,13.0,16.0,19.0,3.53
78,75.0,72,74.0,71.0,68.0,100.0,87.0,74.0,29.93,10.0,5.5,1.0,14.0,20.5,27.0,1.52
86,78.0,70,70.0,68.0,66.0,90.0,75.5,61.0,29.99,10.0,8.0,6.0,8.0,9.5,11.0,0.0
94,84.0,74,76.0,73.0,70.0,93.0,72.5,52.0,29.96,10.0,8.5,7.0,12.0,15.0,18.0,0.0
96,86.5,77,76.0,73.0,70.0,94.0,70.0,46.0,29.97,10.0,7.5,5.0,10.0,15.0,20.0,0.0
